Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
2025-01-28,Sell,TTE,TOTALENERGIES SE FSPONSORED ADR 1 ADR REPS 1 ORD SHS,6.0,$58.11,$0.01,348.65
2025-01-21,ADR Mgmt Fee,TTE,TOTALENERGIES SE FSPONSORED ADR 1 ADR REPS 1 ORD SHS,,,,-0.06
2025-01-21,Foreign Tax Paid,TTE,TOTALENERGIES SE FSPONSORED ADR 1 ADR REPS 1 ORD SHS,,,,-1.22
2025-01-21,Qualified Dividend,TTE,TOTALENERGIES SE FSPONSORED ADR 1 ADR REPS 1 ORD SHS,,,,4.87
2025-01-21,Buy to Close,SOFI 01/31/2025 15.00 P,PUT SOFI TECHNOLOGIES IN$15 EXP 01/31/25,1.0,$0.36,$0.66,-36.66
2025-01-17,Sell,LLY,ELI LILLY AND CO,1.0016,$743.3307,$0.02,744.5
2025-01-16,Sell,CNR,CORE NAT RES INC,7.0314,$94.7237,$0.02,666.02
2025-01-16,Sell,KEP,KOREA ELEC PWR CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS,14.0,$6.995,,97.93
2025-01-16,Buy,VWO,VANGUARD FTSE EMERGING MARK ETF IV,22.0,$43.5145,,-957.32
2025-01-16,Buy,VXUS,VANGUARD TOTAL INTERNATIONAL STK ETF,25.0,$59.305,,-1482.63
2025-01-16,Sell to Open,SOFI 01/31/2025 15.00 P,PUT SOFI TECHNOLOGIES IN$15 EXP 01/31/25,1.0,$0.73,$0.66,72.34
2025-01-16,Sell,AADR,ADVISORSHARES DORSEY WRIGHT ADR ETF,36.0,$72.30,$0.08,2602.72
,Bank Interest,,BANK INT ...525 SCHWAB BANK,,,,0.08
2025-01-15,Name Change,CNR,CORE NAT RES INC,7.0314,,,
2025-01-15,Name Change,20854L108,CONSOL ENERGY INC NEWXXXNAME CHANGE EFF: 01/15/25,-7.0314,,,
2025-01-13,Buy to Close,MARA 02/07/2025 15.00 P,PUT MARA HLDGS INC $15 EXP 02/07/25,1.0,$0.82,$0.66,-82.66
2025-01-09,Foreign Tax Paid,TSM,TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS,,,,-0.89
2025-01-09,Qualified Dividend,TSM,TAIWAN SEMICONDUCTOR M FSPONSORED ADR 1 ADR REPS 5 ORD SHS,,,,4.26
2025-01-07,Sell,CART,MAPLEBEAR INC,1.0,$42.67,,42.67
2025-01-06,Reinvest Shares,PEP,PEPSICO INC,0.028,$147.2763,,-4.13
2025-01-06,Qual Div Reinvest,PEP,PEPSICO INC,,,,4.13
